channelId,channelTitle,videoCount,avgViewCount,avgLikeCount,avgDislikeCount,avgCommentCount,avgDurationSeconds,longCount,shortsCount
UC-NwgkrLPYmzM-xoLr2GX-Q,Ideias Radicais,500,85459.9,11088.8,0.0,358.7,597.4,221,279
UC-wcdrzucnlKGBjyEUaEWaQ,Morning Show,453,11576.2,371.3,0.0,54.3,2320.3,447,6
UC-yJ_8-3Atd6zyBE0JQtw3Q,Direto No Assunto,164,11540.4,1351.4,0.0,45.3,530.9,163,1
UC02coXfDPjEmU8uDT2G8Z2A,Jones Manoel,496,16715.9,2678.9,0.0,262.8,953.0,210,286
UC07mcddelRF4lyN5XBWt-qw,CONSERVADOR BR ,482,29884.0,3784.6,0.0,110.1,756.6,83,399
UC0NtqwtL1oLxwm3lx_Uo5Og,Politize!,450,24391.0,1172.8,0.0,129.7,373.0,161,289
UC0bD_BYzLStrI_xG7rwMMBw,Nós da Questão,497,138658.1,20677.6,0.0,647.3,1204.1,471,26
UC0xqLnPTcFVf8MXaIoHPeDw,PT - Partido dos Trabalhadores ,473,11213.7,847.2,0.0,62.2,1992.8,413,60
UC2Bjt54eG8VHLzK4tZFMHPQ,Marcos Serrano,342,138884.0,11495.4,0.0,410.9,33.7,0,342
UC3-JLGJpMKwymQoRFJMkgSg,Plantão Brasil (Thiago dos Reis),492,96082.9,16164.3,0.0,877.0,867.4,430,62
UC3BM4LVGTrG5OER815AM7Bg,Fala Glauber Podcast,498,96278.9,6052.2,0.0,465.6,2754.3,406,92
UC3Ooj_iDWELBumIEDejyNHQ,BlaBlaLogia,498,6421.1,923.6,0.0,74.0,2291.4,459,39
UC3qAUf53j_dUv09jH7jsUJw,Humberto Matos,499,20240.7,2876.8,0.0,301.1,1466.3,446,53
UC3sMBA3BdnsKSVI0WB9yVWQ,TV Fórum,478,18281.0,2185.0,0.0,130.7,2607.1,407,71
UC3uYvpJ3J6oNoNYRXfZXjEw,Cortes do Flow [OFICIAL],457,64852.1,3101.7,0.0,129.8,492.4,457,0
UC4ncvgh5hFr5O83MH7-jRJg,Flow Podcast,479,355552.4,21218.1,0.0,508.7,2919.2,167,312
UC5ZXYxeWlROKbL7JziJ0bIQ,O Historiador,499,31475.3,6067.0,0.0,313.1,888.3,499,0
UC6bCs_eSrTEwHU2tU6hJfHg,Notícias Progressistas,268,24533.5,2179.1,0.0,193.4,164.0,77,191
UC6iiSl-DJQF5t_YttyUZX6Q,Podcast 3 irmãos,454,34975.6,872.2,0.0,236.6,4119.6,234,220
UC6lIAxm56lysZ_yYOVFxosQ,Paralelo News,247,175220.4,16424.1,0.0,1249.1,1219.0,240,7
UC6pkw1C4ha1cmU9aDJ8OxUw,Jovens de Negócios,293,338820.0,36623.3,0.0,1536.0,1042.7,260,33
UC7-Pp09PJX_SYP9oyMzUAtg,João Carvalho,496,23210.3,2969.6,0.0,164.3,2752.5,408,88
UC72UjVo3m_pH5kfG4fkAToA,Lucas Pavanato,460,409861.9,34619.1,0.0,1120.1,108.9,132,328
UC74FvQ6GtdwRmENGymLjqNA,Suno Notícias,419,3157.0,207.4,0.0,7.6,960.8,313,106
UC84asuWqcrFqEtWqSCtS85Q,Deltan Dallagnol,498,128026.2,15691.1,0.0,1192.2,589.5,423,75
UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,399,138982.7,22757.6,0.0,1226.5,306.3,185,214
UC9U4nIDyIzzelXrjNQXNvxA,Pânico Jovem Pan,468,142887.8,7303.4,0.0,134.3,2883.1,400,68
UC9XGWLQ3gL7fZla9tcINJxA,TV FLORIDA USA,402,5720.3,967.4,0.0,17.4,3200.2,397,5
UC9b76oJ9ca-fgqGdiWU-GhQ,Glauber Braga,408,13921.8,1476.0,0.0,163.4,228.0,289,119
UC9dBF5Mxf5pMAc7fXdEi8AQ,Canal da Resistência,439,10873.8,840.1,0.0,89.9,1850.5,256,183
UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,372,138311.0,4671.0,0.0,784.6,242.5,137,235
UCAQbzBnBNedBGH-KsL6TKKQ,Vida no Quartel,191,140931.0,6932.1,0.0,1009.5,436.8,166,25
UCBMKrkHv07GoYb5ITLt0sYQ,Filósofo Paulo Ghiraldelli,1,1514.0,215.0,0.0,6.0,1856.0,1,0
UCBQAI1ZhurW3nbtJR-gBBZg,Revista Oeste,478,71408.5,8460.2,0.0,293.7,1305.1,280,198
UCC6f63SXY0CDpsPGDBtTWVg,Henry Bugalho,500,49787.6,7370.1,0.0,686.3,930.0,496,4
UCCtYx3ohkS4DKDPJWjvQf1A,Andréa Gonçalves,490,114027.6,15009.8,0.0,1298.1,3012.6,488,2
UCCyg5qwGOWaW3WCWExAndIQ,Cortes do Mamãe Falei,498,65576.9,4808.1,0.0,238.0,568.3,316,182
UCDR_P0i9d66ZAC_1_TAPINA,MADERADA BRASIL,495,27410.9,2434.8,0.0,195.6,598.0,487,8
UCDpg1yfc6i7mdKQB17TukdA,O PROVOCADOR,493,17040.2,3874.8,0.0,246.3,2334.9,484,9
UCDpw6-Kl_ltcf0AKBA1oKsA,Brasil notícias,474,501.8,121.9,0.0,11.5,758.5,463,11
UCDryedBUWsvqNbd0T1vW8WQ,Cortes Trezoitão,497,60509.6,1040.8,0.0,120.0,327.1,221,276
UCELku_rf-FHbWhLIwsKLGGA,Portal do José,499,124606.2,30445.8,0.0,1633.8,811.7,467,32
UCEoslUVXeGLIFtyp9ZfnGug,Silas Malafaia Oficial,492,16328.6,1790.9,0.0,177.2,742.8,334,158
UCEsbaUdrM_87K-2um30hf8Q,Jovem Pan  - 3 em 1,465,14852.9,426.4,0.0,62.7,1936.3,392,73
UCFCiSRbCVwQ_BQaDQBYxN_A,Poder360,447,45308.9,1774.5,0.0,307.7,1651.3,241,206
UCFKKzThiteu1WkrJIlVQEWg,Claudio Dantas,485,16115.7,2052.9,0.0,126.1,2342.5,454,31
UCFwzvNKpQWKMbiOHJ26IEnQ,Guilherme Boulos,477,11554.9,1737.9,0.0,108.8,167.8,62,415
UCGtU73VeRj9hY1P3PtVUERw,Sargento Fahur Oficial,423,432800.0,33506.5,0.0,1167.9,1164.5,308,115
UCGuo301AFAeKLS8bdARpehg,Guto Zacarias,498,169998.6,16946.5,0.0,514.8,213.8,99,399
UCHFO37KCJlMNUXNK21MV8SQ,Ciro Gomes,484,151601.5,3407.3,0.0,264.1,4405.9,381,103
UCHbDrAtUpJzibwpgn13DRKw,Rodrigo Pimentel,493,158878.4,16038.7,0.0,183.4,235.2,235,258
UCHdLKAyfDT53Pj0A0FpqZyA,Alma Preta Jornalismo,309,8403.8,224.2,0.0,27.0,377.2,212,97
UCIX5uq1meeqhtKdBIFwHGWg,Os Economistas Podcast,444,64394.7,4114.9,0.0,108.8,669.4,217,227
UCI_wf0qQ4JSkD2--_4C7IMw,Advogado e Professor Roberto Conceição,466,5035.7,386.0,0.0,29.9,625.6,445,21
UCJVTsYjG0KLNWL6OyHx7ZGw,Nexo Jornal,447,7024.4,274.8,0.0,37.4,942.6,443,4
UCK8of7NJhRnyYRH1LlZ-Ubw,Fio Diário,486,14793.7,2331.1,0.0,74.4,2790.9,392,94
UCKDjjeeBmdaiicey2nImISw,Brasil Paralelo,485,51885.2,4705.3,0.0,168.6,1380.6,328,157
UCKWus46Vy8gwf1rRLu4II0w,Chavoso da USP,153,58167.6,8657.3,0.0,643.1,1685.3,136,17
UCKonBrqdQ0ZgKicDsLTjO-g,Cortes do Flow News [OFICIAL],381,7793.8,468.6,0.0,67.9,377.1,256,125
UCKtQVrhzkSu5gfBkXiMytkQ,Marcelo Brigadeiro,499,41085.8,4812.3,0.0,471.7,1010.7,384,115
UCLHIUIBIid6qpljFBWEOHSw,AuriVerde Brasil,494,75895.5,8682.3,0.0,500.3,2019.5,457,37
UCLJkh3QjHsLtK0LZFd28oGg,Fernando Ulrich,499,115993.9,10791.4,0.0,681.9,1138.2,373,126
UCLTWPE7XrHEe8m_xAmNbQ-Q,ANCAPSU,497,85155.5,14553.2,0.0,551.8,588.5,424,73
UCLdb4w1DEd_W0EycQCQYGUw,Bruno Jonssen,500,6243.3,1483.6,0.0,116.1,553.4,483,17
UCLmvyoJW1wJlKY-l1KguCSw,O Antagonista,484,16433.8,1521.2,0.0,146.4,2050.6,447,37
UCM3vJxmuJJkk1r0yzFI9eZg,Investidor Sardinha l Raul Sena,500,117942.1,11212.4,0.0,564.1,876.8,450,50
UCMJLyQhG13l7EFrLNPvOW7g,Boatos.org,490,5560.2,273.4,0.0,32.2,211.8,440,50
UCNeYXTZeIcPC1vEXo4hxjOA,Cortes RedCast [OFICIAL],498,51082.5,2567.4,0.0,338.6,715.3,498,0
UCNqzAD9EiECreuH6LA8IYeA,Intercept Brasil,485,35791.8,2290.7,0.0,287.4,855.9,424,61
UCO6j6cqBhi2TWVxfcn6t23w,Desmascarando,274,129982.9,22755.2,0.0,1197.7,469.5,273,1
UCOjUlJ4EpPxuhtT0zEVw25A,Opera Mundi,497,12118.5,1383.3,0.0,93.9,2540.9,471,26
UCOnuheHbS2DgZiAZFL0-Sbg,Brasil de Fato,443,13501.9,918.1,0.0,79.9,591.2,136,307
UCPMRUL8kaUvMvc3Xp4YkaRw,Sergio Moro,369,119672.3,7041.2,0.0,484.6,632.0,216,153
UCPOWKaFkxvzDXawohhejNiw,Rubinho Nunes,489,90270.6,7285.8,0.0,380.9,181.0,149,340
UCPYIYR0J8ppEJVtR1weLnBw,TV GGN,481,14081.5,1776.3,0.0,107.5,2336.5,425,56
UCQNr3rhXfVXhMSYb3k43atA,TV Coiote,489,29467.7,1380.8,0.0,203.6,977.5,476,13
UCQOXd6wXlTbFnAMOzG8bVRw,paulopaimsenador,347,724.2,38.0,0.0,10.7,329.2,254,93
UCQVGpvqkT_VI_qKg6MYqeWA,Luciano Hang Oficial,439,70750.1,5867.3,0.0,248.0,116.7,170,269
UCQimGgtBQmF4zxOdnARWFpg,Tiago Santineli,126,753029.5,90550.0,0.0,4297.6,1842.5,125,1
UCQwMWA9DGUO1cBJhg_wQWsQ,NOVO 30,480,94250.1,7757.1,0.0,293.9,148.2,113,367
UCRVJVPnaJgZFmgJv1xvfvoQ,Você É De Esquerda E Não Sabe!,257,6974.9,804.1,0.0,153.9,407.4,201,56
UCRVbqma6TaIHp9E151nC8sA,Agência Pública,127,4722.3,128.5,0.0,116.5,971.4,99,28
UCSyG9ph5BJSmPRyzc_eGC4g,Visão Libertária,465,7997.5,1173.6,0.0,85.5,433.5,290,175
UCT4nDeU5pv1XIGySbSK-GgA,O Primo Rico,492,294143.9,23176.7,0.0,764.7,759.1,284,208
UCTo9BCjjhVVPCZ7ATtTm-uA,Prof. Elias Junior,481,25715.8,2164.3,0.0,157.3,1182.0,448,33
UCUM4-KGZEXC2pk6zRDL9jMQ,MyNews,499,65294.3,3284.7,0.0,419.9,2320.9,405,94
